调查日期,客户ID,年龄,性别,产品类型,满意度评分,推荐意愿,价格评价,质量评价,服务评价,评论
2023-01-10,C001,28,男,笔记本电脑,4,5,3,5,4,产品性能优秀，但价格略高
2023-01-15,C002,35,女,智能手机,5,5,4,5,5,非常满意，各方面都很好
2023-01-20,C003,42,男,平板电脑,3,2,2,4,3,质量不错，但价格偏高
2023-01-25,C004,31,女,智能手表,4,4,5,4,3,价格实惠，服务可以再改进
2023-02-05,C005,24,男,台式电脑,5,5,4,5,5,完美的购物体验
2023-02-12,C006,39,女,笔记本电脑,2,1,1,3,2,价格太贵，性价比低
2023-02-18,C007,45,男,智能手机,4,4,3,5,4,产品质量超出预期
2023-02-24,C008,29,女,平板电脑,5,5,5,5,5,全五星好评！
2023-03-03,C009,33,男,智能手表,3,3,4,3,2,服务态度需要改进
2023-03-10,C010,27,女,台式电脑,4,4,3,5,4,配置很强，略贵但值得
2023-03-17,C011,38,男,笔记本电脑,5,5,4,5,5,非常满意，会推荐给朋友
2023-03-24,C012,26,女,智能手机,3,3,2,4,3,系统偶尔会卡顿
2023-04-02,C013,41,男,平板电脑,4,5,5,4,4,价格合理，整体满意
2023-04-09,C014,30,女,智能手表,5,5,5,5,5,完美，没有任何问题
2023-04-16,C015,36,男,台式电脑,2,2,1,3,2,价格太贵了，配置一般
2023-04-23,C016,25,女,笔记本电脑,4,4,3,5,4,性能强劲，做工精细
2023-05-01,C017,43,男,智能手机,3,3,2,4,3,拍照不如预期那么好
2023-05-08,C018,32,女,平板电脑,5,5,4,5,5,非常适合看电影和办公
2023-05-15,C019,28,男,智能手表,4,4,5,4,3,电池续航很棒
2023-05-22,C020,37,女,台式电脑,5,5,4,5,5,游戏性能超强，很满意
2023-05-29,C021,44,男,笔记本电脑,3,2,2,4,3,散热有点问题，其他还好
2023-06-05,C022,29,女,智能手机,4,5,3,5,4,相机很棒，系统流畅
2023-06-12,C023,34,男,平板电脑,5,5,5,5,5,完美的平板电脑体验
2023-06-19,C024,27,女,智能手表,2,1,1,3,2,功能太少，不值这个价
2023-06-26,C025,40,男,台式电脑,4,4,3,5,4,性能强大，装机服务好
2023-07-03,C026,31,女,笔记本电脑,5,5,4,5,5,轻薄便携，电池续航长
2023-07-10,C027,26,男,智能手机,3,3,2,4,3,系统有待优化
2023-07-17,C028,38,女,平板电脑,4,4,5,4,3,屏幕显示效果很好
2023-07-24,C029,45,男,智能手表,5,5,5,5,5,功能齐全，很实用
2023-07-31,C030,30,女,台式电脑,2,2,1,3,2,送货慢，安装服务差
2023-08-07,C031,35,男,笔记本电脑,4,4,3,5,4,设计精美，运行流畅
2023-08-14,C032,28,女,智能手机,5,5,4,5,5,拍照超强，系统流畅
2023-08-21,C033,43,男,平板电脑,3,3,2,4,3,屏幕亮度有点低
2023-08-28,C034,32,女,智能手表,4,5,5,4,4,防水效果很好，运动监测准确
2023-09-04,C035,27,男,台式电脑,5,5,5,5,5,散热好，噪音小，完美
2023-09-11,C036,39,女,笔记本电脑,2,1,1,3,2,接口太少，不方便
2023-09-18,C037,29,男,智能手机,4,4,3,5,4,拍照效果很棒
2023-09-25,C038,36,女,平板电脑,5,5,4,5,5,看电影体验极佳
2023-10-02,C039,42,男,智能手表,3,3,2,4,3,充电速度有点慢
2023-10-09,C040,31,女,台式电脑,4,4,5,4,3,性价比很高
2023-10-16,C041,25,男,笔记本电脑,5,5,4,5,5,轻薄+强性能，很满意
2023-10-23,C042,37,女,智能手机,3,2,2,4,3,电池续航一般
2023-10-30,C043,44,男,平板电脑,4,5,3,5,4,屏幕分辨率高，显示清晰
2023-11-06,C044,30,女,智能手表,5,5,5,5,5,健康监测功能很全面
2023-11-13,C045,26,男,台式电脑,2,1,1,3,2,价格太贵，可以买更好的
2023-11-20,C046,38,女,笔记本电脑,4,4,3,5,4,外观设计很漂亮
2023-11-27,C047,33,男,智能手机,5,5,4,5,5,系统流畅，没有卡顿
2023-12-04,C048,41,女,平板电脑,3,3,2,4,3,音质可以再提升
2023-12-11,C049,29,男,智能手表,4,4,5,4,3,运动模式很全面
2023-12-18,C050,35,女,台式电脑,5,5,4,5,5,游戏性能一流 
