日期,销售额,访问量,广告支出,促销活动,季节因素,天气指数,竞争指数,市场份额,顾客满意度
2022-01-01,15200,3200,5000,1,0.8,0.6,0.5,32.5,4.2
2022-01-02,14800,3100,5000,1,0.8,0.5,0.5,32.4,4.2
2022-01-03,15100,3300,5000,1,0.8,0.7,0.5,32.6,4.3
2022-01-04,15500,3400,5000,1,0.8,0.8,0.5,32.7,4.3
2022-01-05,16000,3600,5000,1,0.8,0.9,0.5,32.9,4.4
2022-01-06,16500,3800,5000,1,0.8,0.7,0.5,33.1,4.4
2022-01-07,18000,4200,5000,1,0.8,0.8,0.5,33.5,4.5
2022-01-08,19500,4500,5000,0,0.8,0.9,0.5,33.9,4.5
2022-01-09,18200,4300,5000,0,0.8,0.8,0.5,33.7,4.4
2022-01-10,17800,4100,5000,0,0.8,0.7,0.5,33.5,4.4
2022-01-11,17500,4000,5000,0,0.8,0.6,0.5,33.4,4.3
2022-01-12,17200,3900,5000,0,0.8,0.5,0.5,33.2,4.3
2022-01-13,17000,3800,5000,0,0.8,0.4,0.5,33.0,4.2
2022-01-14,17800,4100,5000,0,0.8,0.6,0.5,33.1,4.3
2022-01-15,19200,4400,5000,1,0.8,0.7,0.5,33.5,4.4
2022-01-16,18500,4200,5000,1,0.8,0.8,0.5,33.4,4.4
2022-01-17,18100,4000,5000,1,0.8,0.7,0.5,33.3,4.3
2022-01-18,17900,3900,5000,1,0.8,0.6,0.5,33.2,4.3
2022-01-19,17600,3800,5000,1,0.8,0.5,0.5,33.0,4.2
2022-01-20,17400,3700,5000,1,0.8,0.4,0.5,32.9,4.2
2022-01-21,18200,4100,6000,1,0.8,0.6,0.5,33.1,4.3
2022-01-22,19800,4600,6000,1,0.8,0.8,0.5,33.8,4.5
2022-01-23,19200,4400,6000,1,0.8,0.7,0.5,33.7,4.4
2022-01-24,18500,4200,6000,1,0.8,0.6,0.5,33.5,4.4
2022-01-25,18200,4100,6000,1,0.8,0.5,0.5,33.3,4.3
2022-01-26,18000,4000,6000,1,0.8,0.4,0.5,33.2,4.3
2022-01-27,17800,3900,6000,1,0.8,0.3,0.5,33.0,4.2
2022-01-28,18600,4300,6000,1,0.8,0.5,0.5,33.2,4.3
