日期,产品,价格,数量,销售额,地区,客户类型
2023-01-05,笔记本电脑,6999,10,69990,华北,企业
2023-01-12,智能手机,3999,25,99975,华东,个人
2023-01-18,平板电脑,4599,15,68985,华南,个人
2023-01-25,台式电脑,5299,8,42392,西北,企业
2023-02-03,智能手表,1299,30,38970,华北,个人
2023-02-10,笔记本电脑,7299,12,87588,华东,企业
2023-02-17,智能手机,4599,22,101178,华南,个人
2023-02-24,平板电脑,3999,18,71982,西南,教育
2023-03-05,台式电脑,6599,6,39594,华北,企业
2023-03-12,智能手表,999,35,34965,华东,个人
2023-03-19,笔记本电脑,8999,9,80991,华南,教育
2023-03-26,智能手机,2999,28,83972,西北,个人
2023-04-02,平板电脑,5299,14,74186,华北,企业
2023-04-09,台式电脑,4599,7,32193,华东,教育
2023-04-16,智能手表,1599,32,51168,华南,个人
2023-04-23,笔记本电脑,6599,11,72589,西南,企业
2023-04-30,智能手机,3599,26,93574,华北,个人
2023-05-07,平板电脑,4299,16,68784,华东,教育
2023-05-14,台式电脑,7299,5,36495,华南,企业
2023-05-21,智能手表,899,38,34162,西北,个人
2023-05-28,笔记本电脑,5999,13,77987,华北,教育
2023-06-04,智能手机,4899,24,117576,华东,个人
2023-06-11,平板电脑,3699,17,62883,华南,企业
2023-06-18,台式电脑,5599,9,50391,西南,教育
2023-06-25,智能手表,1399,33,46167,华北,个人
2023-07-02,笔记本电脑,7599,10,75990,华东,企业
2023-07-09,智能手机,3299,27,89073,华南,个人
2023-07-16,平板电脑,4999,15,74985,西北,教育
2023-07-23,台式电脑,6299,8,50392,华北,企业
2023-07-30,智能手表,1099,36,39564,华东,个人
2023-08-06,笔记本电脑,9299,14,130186,华南,教育
2023-08-13,智能手机,4199,29,121771,西南,个人
2023-08-20,平板电脑,5599,19,106381,华北,企业
2023-08-27,台式电脑,4899,7,34293,华东,教育
2023-09-03,智能手表,1799,34,61166,华南,个人
2023-09-10,笔记本电脑,6899,12,82788,西北,企业
2023-09-17,智能手机,3799,30,113970,华北,个人
2023-09-24,平板电脑,4399,20,87980,华东,教育
2023-10-01,台式电脑,7599,6,45594,华南,企业
2023-10-08,智能手表,999,40,39960,西南,个人
2023-10-15,笔记本电脑,5799,15,86985,华北,教育
2023-10-22,智能手机,4399,31,136369,华东,个人
2023-10-29,平板电脑,3899,22,85778,华南,企业
2023-11-05,台式电脑,5099,9,45891,西北,教育
2023-11-12,智能手表,1499,37,55463,华北,个人
2023-11-19,笔记本电脑,7899,13,102687,华东,企业
2023-11-26,智能手机,3399,28,95172,华南,个人
2023-12-03,平板电脑,4799,18,86382,西南,教育
2023-12-10,台式电脑,6999,7,48993,华北,企业
2023-12-17,智能手表,1199,42,50358,华东,个人
2023-12-24,笔记本电脑,8599,11,94589,华南,教育
2023-12-31,智能手机,4599,32,147168,西北,个人 
