客户ID,年龄,性别,收入,学历,婚姻状况,城市等级,消费频率,平均订单金额,总消费金额,会员等级,客户忠诚度,产品喜好类型,促销敏感度,支付方式偏好,访问渠道,购买转化率,退货率,投诉次数,客户价值
C001,35,男,12000,本科,已婚,一线,15,650,9750,金牌,0.85,电子产品,0.7,信用卡,移动端,0.22,0.05,1,高
C002,28,女,8500,硕士,未婚,一线,12,580,6960,银牌,0.75,服装,0.8,微信支付,移动端,0.18,0.12,2,中
C003,42,男,15000,博士,已婚,一线,18,720,12960,钻石,0.92,奢侈品,0.5,信用卡,电脑端,0.25,0.03,0,高
C004,31,女,9500,本科,已婚,二线,10,490,4900,银牌,0.7,美妆,0.75,支付宝,移动端,0.15,0.08,1,中
C005,25,男,6500,大专,未婚,三线,8,320,2560,普通,0.62,数码,0.65,微信支付,移动端,0.12,0.15,3,低
C006,39,男,13500,硕士,已婚,一线,16,680,10880,金牌,0.88,家电,0.55,信用卡,电脑端,0.23,0.04,1,高
C007,33,女,10200,本科,已婚,二线,14,520,7280,银牌,0.79,家居,0.6,支付宝,移动端,0.17,0.07,0,中
C008,45,男,18000,博士,已婚,一线,20,850,17000,钻石,0.95,奢侈品,0.4,信用卡,电脑端,0.28,0.02,0,高
C009,29,女,8800,本科,未婚,二线,11,450,4950,普通,0.73,服装,0.85,微信支付,移动端,0.16,0.09,1,中
C010,52,男,22000,硕士,已婚,一线,17,920,15640,钻石,0.9,奢侈品,0.35,信用卡,电脑端,0.27,0.01,0,高
C011,27,女,7500,大专,未婚,三线,9,380,3420,普通,0.65,美妆,0.8,支付宝,移动端,0.13,0.14,2,低
C012,38,男,12800,本科,已婚,二线,15,620,9300,金牌,0.82,数码,0.6,微信支付,电脑端,0.21,0.06,1,中
C013,41,女,14500,硕士,离异,一线,19,750,14250,金牌,0.87,奢侈品,0.55,信用卡,电脑端,0.24,0.04,1,高
C014,32,男,9800,本科,已婚,二线,13,510,6630,银牌,0.77,电子产品,0.65,微信支付,移动端,0.19,0.08,0,中
C015,24,女,5800,大专,未婚,三线,7,290,2030,普通,0.59,服装,0.9,支付宝,移动端,0.11,0.18,2,低
C016,49,男,19500,博士,已婚,一线,18,880,15840,钻石,0.93,奢侈品,0.3,信用卡,电脑端,0.26,0.02,0,高
C017,36,女,11200,本科,已婚,二线,14,580,8120,银牌,0.81,家居,0.7,支付宝,移动端,0.2,0.07,1,中
C018,43,男,16500,硕士,离异,一线,17,790,13430,金牌,0.89,电子产品,0.5,信用卡,电脑端,0.25,0.03,0,高
C019,30,女,9000,本科,未婚,二线,12,470,5640,银牌,0.76,美妆,0.75,微信支付,移动端,0.18,0.1,1,中
C020,55,男,25000,博士,已婚,一线,19,980,18620,钻石,0.94,奢侈品,0.25,信用卡,电脑端,0.29,0.01,0,高
C021,26,女,7200,大专,未婚,三线,8,350,2800,普通,0.63,服装,0.85,支付宝,移动端,0.12,0.16,3,低
C022,37,男,12500,本科,已婚,二线,15,610,9150,金牌,0.83,数码,0.6,微信支付,电脑端,0.22,0.05,1,中
C023,44,女,17000,硕士,已婚,一线,18,820,14760,金牌,0.9,奢侈品,0.45,信用卡,电脑端,0.26,0.03,0,高
C024,34,男,10500,本科,已婚,二线,13,530,6890,银牌,0.78,电子产品,0.65,微信支付,移动端,0.2,0.08,1,中
C025,23,女,5500,大专,未婚,三线,6,270,1620,普通,0.56,服装,0.95,支付宝,移动端,0.1,0.2,4,低
C026,48,男,18500,硕士,已婚,一线,17,860,14620,钻石,0.92,奢侈品,0.35,信用卡,电脑端,0.27,0.02,0,高
C027,29,女,8900,本科,未婚,二线,11,460,5060,银牌,0.74,美妆,0.8,微信支付,移动端,0.17,0.11,1,中
