产品ID,产品名称,类别,品牌,零售价,成本价,毛利率,库存量,销量,平均评分,评论数量,促销频率,退货率,上架时间,季节性指数,新品标志,包装类型,重量,尺寸,颜色,材质,产地,保修期,在线可见度,门店可见度,受众群体,热销指数
P001,超薄笔记本电脑,电子产品,联想,5999,4200,0.30,120,85,4.6,320,0.25,0.03,2022-01-15,0.8,1,盒装,1.8,13.5寸,银色,金属,中国,24个月,0.85,0.75,商务人士,0.78
P002,高清智能电视,家电,三星,3999,2800,0.30,80,65,4.5,280,0.30,0.02,2021-11-20,0.7,0,盒装,15.5,55寸,黑色,塑料,韩国,36个月,0.80,0.85,家庭,0.81
P003,专业单反相机,数码,尼康,6500,4550,0.30,60,40,4.8,180,0.15,0.01,2022-02-10,0.6,1,盒装,0.8,中型,黑色,复合材料,日本,12个月,0.75,0.70,摄影爱好者,0.72
P004,智能手表,电子产品,苹果,2999,2100,0.30,150,130,4.7,450,0.20,0.04,2021-09-15,0.9,0,盒装,0.05,44mm,白色,金属,中国,12个月,0.90,0.80,年轻人,0.86
P005,无线蓝牙耳机,电子产品,索尼,1299,910,0.30,200,180,4.6,520,0.35,0.05,2022-03-01,0.8,1,盒装,0.02,小型,黑色,塑料,越南,12个月,0.85,0.70,音乐爱好者,0.84
P006,智能音箱,电子产品,亚马逊,899,630,0.30,120,95,4.3,280,0.25,0.03,2021-10-10,0.7,0,盒装,1.2,中型,黑色,塑料,美国,12个月,0.80,0.65,科技爱好者,0.76
P007,高端咖啡机,家电,德龙,3599,2520,0.30,50,35,4.7,150,0.15,0.02,2021-12-05,0.6,0,盒装,8.5,中型,银色,金属,意大利,24个月,0.70,0.80,咖啡爱好者,0.69
P008,游戏主机,电子产品,索尼,3799,2660,0.30,100,85,4.8,380,0.20,0.01,2021-11-15,0.9,0,盒装,3.9,中型,黑色,塑料,日本,12个月,0.90,0.85,游戏玩家,0.88
P009,智能手机,电子产品,华为,4999,3500,0.30,180,160,4.5,580,0.30,0.04,2022-01-20,0.9,1,盒装,0.2,6.7寸,蓝色,玻璃金属,中国,24个月,0.95,0.90,大众,0.92
P010,平板电脑,电子产品,苹果,3799,2660,0.30,130,110,4.7,420,0.25,0.03,2021-10-25,0.8,0,盒装,0.5,10.9寸,银色,金属,中国,12个月,0.85,0.80,学生/专业人士,0.83
